Task,Average_Layers,Layer_Diversity,Model_Count,Total_Parameters,Avg_Parameters
feature-extraction,210.40865384615384,188,208,33363910400.0,2186507.005701553
image-text-to-text,384.9268292682927,64,41,10271481984.0,1846392.5910479957
audio-classification,224.25925925925927,82,162,15268150848.0,1424666.4969674349
automatic-speech-recognition,209.73722627737226,58,137,10962075648.0,1804159.9157340357
image-feature-extraction,189.06666666666666,43,15,1163741184.0,1329989.9245714287
image-segmentation,527.1639344262295,199,61,2498237440.0,337827.91615956725
fill-mask,224.19230769230768,187,130,21532960544.0,2123985.060564214
