Task,Average_Layers,Layer_Diversity,Model_Count,Total_Parameters,Avg_Parameters
feature-extraction,218.0677966101695,188,59,18213412608.0,3936332.9604495354
image-text-to-text,460.25,64,8,5192179840.0,3826219.4841562267
audio-classification,261.4074074074074,82,27,3668278848.0,1744307.5834522112
automatic-speech-recognition,264.1875,58,16,3106144256.0,1848895.3904761905
image-feature-extraction,181.5,43,6,479142912.0,1723535.654676259
image-segmentation,379.9583333333333,208,24,1285942272.0,553331.4423407917
fill-mask,227.75903614457832,187,83,15192141088.0,2287284.1144233663
